,Country,Region,Population,Area (sq. mi.),GDP ($ per capita),ImageURL
0,Afghanistan,Asia,31056997,647500,700,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg
1,Albania,Europe,3581655,28748,4500,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg
2,Algeria,Africa,32930091,2381740,6000,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg
3,Andorra,Europe,71201,468,19000,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg
4,Angola,Africa,12127071,1246700,1900,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg
5,Argentina,North America,39921833,2766890,11200,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
6,Armenia,Asia,2976372,29800,3500,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
7,Australia,Oceania,20264082,7686850,29000,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg
8,Austria,Europe,8192880,83870,30000,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
9,Azerbaijan,Asia,7961619,86600,3400,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg
10,Bahrain,Asia,698585,665,16900,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg
11,Bangladesh,Asia,147365352,144000,1900,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg
12,Barbados,North America,279912,431,15700,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg
13,Belarus,Europe,10293011,207600,6100,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg
14,Belgium,Europe,10379067,30528,29100,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg
15,Belize,North America,287730,22966,4900,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg
16,Benin,Africa,7862944,112620,1100,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg
17,Bhutan,Asia,2279723,47000,1300,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg
18,Bolivia,North America,8989046,1098580,2400,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg
19,Botswana,Africa,1639833,600370,9000,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg
20,Brazil,North America,188078227,8511965,7600,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg
21,Brunei,Asia,379444,5770,18600,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg
22,Bulgaria,Europe,7385367,110910,7600,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg
23,Burkina Faso,Africa,13902972,274200,1100,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg
24,Burundi,Africa,8090068,27830,600,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg
25,Cambodia,Asia,13881427,181040,1900,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
26,Cameroon,Africa,17340702,475440,1800,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg
27,Canada,North America,33098932,9984670,29800,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
28,Cape Verde,Africa,420979,4033,1400,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg
29,Chad,Africa,9944201,1284000,1200,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg
30,Chile,North America,16134219,756950,9900,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg
31,China,Asia,1313973713,9596960,5000,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg
32,Colombia,North America,43593035,1138910,6300,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg
33,Comoros,Africa,690948,2170,700,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg
